node_id,genome_id,degree_centrality,betweeness_centrality,eigenvector_centrality,degree,layer
215,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71,0.0481927710843,0.00053268462907,-1.59387558746126e-16,8,7
212,3300037076_25,,,,,7
213,20111000_P3D_13,,,,,7
210,3300037076_20,,,,,7
211,3300037262_8,,,,,7
218,20120700_P3D_85,,,,,7
219,20120700_P3D_87,0.0542168674699,0.00723158013136,1.1294172413436026e-08,9,7
289,20110800_P3M_18,0.0301204819277,1.46038700256e-05,6.730971734005388e-05,5,7
288,20111000_P1D_14,,,,,7
4,20120500_P26_1,0.0120481927711,0.0,0.04459755160870705,2,7
281,20111000_P1M_2,,,,,7
280,20111000_P1M_8,,,,,7
283,20111000_P1M_7,0.0542168674699,0.0204861118496,0.08492698680723569,9,7
282,20110800_P1D_3,,,,,7
285,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.14_80.71_5.34,,,,,7
284,20111000_P1M_5,0.0421686746988,0.163870025557,0.0005171420405816086,7,7
287,20111000_P1D_11,,,,,7
286,20120600_P3S_2,0.0240963855422,0.00335469217895,-2.3956380907446304e-17,4,7
263,20170700_P24_2,0.10843373494,0.0437610373283,0.32018889427981223,18,7
262,20120500_P31_3,0.0361445783133,8.11326112531e-06,1.8513665905898112e-17,6,7
261,20120500_P31_6,0.0843373493976,0.0273496272596,-3.3295812463773496e-18,14,7
260,20160700_S15_2,,,,,7
267,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.5_87.01_6.92,0.0180722891566,0.0,-3.6692354665238006e-17,3,7
266,PMUP01,0.00602409638554,0.0,-3.665292769158889e-18,1,7
265,20120500_P37_6,,,,,7
264,20170700_P24_4,0.0903614457831,0.00868864456225,0.2690675815807658,15,7
269,PLYO01,,,,,7
268,PLZA01,0.066265060241,0.00355508580963,0.22020064232692968,11,7
59,20110700_P3M_9,0.0361445783133,0.00251262710559,-1.883141890354458e-17,6,7
58,20120700_P3D_97,,,,,7
55,20111000_P3M_28,,,,,7
54,20111000_P3M_22,,,,,7
57,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.300_98.33_0.91,,,,,7
56,3300037138_9,,,,,7
51,20111000_P3M_27,,,,,7
62,20120800_P1D_2,0.0481927710843,0.0180128481299,6.036748215684737e-08,8,7
53,20111000_P3M_21,,,,,7
52,PLCN01,,,,,7
63,20120800_P1D_1,0.066265060241,0.013035951144,3.395489522312658e-08,11,7
50,20120600_S1D_7,,,,,7
115,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.140_93.10_9.25,,,,,7
68,Palsa.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.27_81.74_0.87,,,,,7
117,20111000_P2D_3,,,,,7
116,20150700_P21_1,0.0542168674699,0.0124895333729,6.098197848081887e-18,9,7
111,3300037228_7,,,,,7
110,20110600_P1M_9,,,,,7
113,20150700_P21_5,,,,,7
253,20150700_P14_6,,,,,7
119,20150700_P21_8,0.066265060241,0.00224347173282,2.1108190328855298e-17,11,7
118,20111000_P2D_6,0.0843373493976,0.0104393373275,0.25825493762177276,14,7
429,PLUL01,,,,,7
428,3300038457_7,,,,,7
421,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.190_90.54_5.98,,,,,7
420,Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.24_90.12_0.10,,,,,7
423,3300037353_11,,,,,7
422,PMOU01,,,,,7
425,3300037241_7,0.0120481927711,0.000190782808527,3.4175559059212184e-09,2,7
424,PLXS01,,,,,7
427,20110600_P3S_11,0.0120481927711,0.0,-4.9393264838917695e-17,2,7
426,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29,0.0240963855422,0.000155911475435,1.8225993914449728e-17,4,7
308,20120600_P3M_2,,,,,7
309,20110600_P1M_24,0.066265060241,0.00349709934103,0.2065762846513269,11,7
