,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
47,0.508,-0.7582,-1,-0.458,-0.4548,-0.3594,0.0571999999999999,-0.553,-0.8676,0.7022,0.5376,-0.0598,0.101,-0.9824,-0.1604,-0.984,-0.9446,-0.9786,-0.6432,-0.2242,0.1082,0.0955999999999999,-0.7162,-1,-0.7362,-0.8872,-1,-0.284,-0.0122,-0.778,0.8082,0.6366,-1,0.2942,-0.229,-1,-1,-0.7424,-0.3232,-0.7548,-0.8514,-0.4788,-0.3262,-0.4028,-1,-0.9286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.3826,-0.5918,-0.6046,-0.6356,-0.6174,-0.2814,0.0918000000000001,-0.4388,-0.811,0.975,0.9346,-0.00839999999999996,0.3256,-0.5982,-0.258,-0.8512,-0.3788,0.3178,-0.639,-0.1732,0.3596,0.0653999999999999,-0.4266,-0.721,0.0127999999999999,-0.512,-1,-0.0312,0.2416,-0.3178,0.7946,0.9362,-1,0.99,-0.31,-1,0.423,0.0584,-0.1774,-0.2152,-0.9334,0.0768,0.4228,-0.3024,-1,-0.5386,-0.8988,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.6492,-0.7794,-0.899,-0.297,-0.9218,0.0952,0.2902,0.158,-0.868,0.962,0.8746,0.163,0.4418,-0.1816,0.00600000000000001,-0.4874,-0.2282,-0.5412,-0.4548,-0.126,0.4754,0.3114,-0.5446,-1,0.1858,-0.1192,-1,-0.1722,0.1948,-0.002,0.9368,0.9608,-1,0.9586,0.1506,0.0866,0.3376,-0.5464,-0.0644,-0.517,-0.7812,0.3186,0.4678,-0.00760000000000005,-1,-0.881,-0.5908,-0.7612,NA,NA,NA,NA,NA,NA,NA,NA
50,-0.188,-0.6488,-0.7348,-0.426,0.2168,-0.635,-0.329,-0.497,-0.8062,0.6978,-1,-0.3726,-0.3402,-0.9186,-0.5976,-0.979,-0.5952,-0.6452,-0.6422,-0.3098,-0.4792,-0.3672,-0.8706,-1,-0.9716,-0.798,-0.541,-0.5164,-0.3734,-0.7608,0.1526,-1,-1,-1,-0.6294,-1,-1,-0.1336,-0.5962,-0.5428,-0.7308,-0.564,-0.202,-0.749,-1,-0.4804,-0.9726,-0.8378,-0.3778,NA,NA,NA,NA,NA,NA,NA
51,-0.5688,-0.581,0.5714,-0.3492,0.4038,0.0893999999999999,-0.545,-0.2264,-0.2522,0.7742,0.8628,-0.258,-0.5794,-0.1364,-0.8942,-0.3736,0.2286,0.467,0.0304,-0.29,0.0194000000000001,-0.34,-0.9152,-1,-0.3708,-0.3352,-0.4724,-0.475,-0.3214,-0.6066,0.79,0.866,-1,0.969,-0.202,0.8714,0.6742,-0.0928,-1,0.2202,-0.103,-0.2212,0.512,0.2622,-0.5388,0.2916,-0.1474,0.0731999999999999,0.0686,-0.4982,NA,NA,NA,NA,NA,NA
52,0.729,0.452,0.8594,-0.8734,0.6074,0.7784,-0.8054,-0.9592,-0.4178,0.6284,0.999,-0.5882,0.1884,-0.0278,-0.0908,-0.1676,0.5046,-0.1848,0.5506,0.4712,0.9284,0.6982,-1,-1,0.7788,-0.2828,0.4902,0.738,0.909,-0.0266,0.9316,0.8072,1,0.9974,-1,0.8724,0.9848,0.3798,-0.1022,0.0513999999999999,0.5582,-0.7618,0.781,0.1464,-1,0.6164,0.1682,0.6364,0.574,0.1226,-0.438,NA,NA,NA,NA,NA
53,0.6574,0.1524,-0.4622,-0.6696,-0.1078,0.6062,-0.0906,-0.0556,-0.2942,0.9648,0.945,-0.504,0.5328,-0.7624,-1,-0.8132,0.0509999999999999,-0.0988,0.2412,0.2286,0.8512,0.267,-1,-1,0.5656,-0.3364,-1,0.5202,0.7596,-0.217,0.9602,0.8904,1,0.9832,-0.716,0.5022,0.4652,-0.7576,-1,0.0176000000000001,-0.6344,0.0835999999999999,0.3762,-0.2956,-1,-0.1434,-0.8254,-0.1946,-0.3514,-0.3158,0.6202,0.2766,NA,NA,NA,NA
54,-0.6858,-0.2568,0.3682,-0.6856,-1,-0.5316,-0.5044,0.0611999999999999,-0.0772,0.8804,0.3386,-0.6334,-1,-1,-0.9914,-0.5994,-0.1144,0.29,-0.0544,-1,-0.34,-0.7402,-0.8228,-0.8026,-1,-0.1584,0.2081,-1,-1,-0.5366,0.8859,0.7508,-1,-1,-0.2452,0.6822,-1,0.0431999999999999,-0.9798,-0.345,-0.3038,-1,-1,0.154,-0.8286,0.004,-0.1362,-0.1294,0.1022,-0.5684,-0.9036,0.2088,0.1086,NA,NA,NA
55,-0.0354,-0.9732,-0.3758,-0.1022,-1,-0.2984,-0.251,-0.3106,-0.6262,-1,0.757,-0.1666,-0.1298,-0.4154,-0.407,-0.3402,-0.7162,-0.7026,-0.598,-0.3222,-0.1944,-0.1356,-1,-1,-0.2274,-0.8368,-1,-0.5578,-0.3266,-0.5582,0.8256,0.8882,-1,0.783,-0.2168,0.285,0.2124,-0.3958,-0.4872,-0.421,-0.3342,-0.0679999999999999,0.248,0.0662,-1,-0.4344,-0.536,-0.3844,-0.7212,-0.7196,-0.5822,0.2692,0.41,-0.3436,NA,NA
56,-0.408,-0.3188,-0.5236,-0.4444,0.5372,-0.6132,-0.4304,0.0546,-0.5358,0.8516,-1,-0.2082,-0.4762,-0.7686,-0.7218,-0.8124,-0.1124,-0.3222,-0.669,-0.284,-0.9396,-0.6072,-0.9262,-0.9224,-1,-0.222,-0.6902,-0.6172,-0.5492,-0.6138,0.118,-1,-1,-1,-0.4164,-1,-1,0.3164,-0.7588,-0.098,-0.3212,-0.0302,0.2424,-0.415,-0.724,-0.0486,-0.8768,-0.4576,-0.2912,-0.9908,-0.6156,0.5226,0.1526,-0.7302,-0.4258,NA
