,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
49,1,-0.4124,0.9984,0.894,0.9992,0.8076,0.4981,-0.993,0.988,0.525,1,0.9992,1,0.5158,-1,-1,-1,0.9358,-1,-0.8936,-1,-1,-1,-0.974,-0.6062,-0.9926,-1,1,1,0.6864,0.5558,0.9998,0.9748,0.5006,1,1,0.4382,-1,1,1,1,0.9938,-0.234,0.7164,0.9978,0.851,0.5041,-0.9786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-1,0.339,0.3078,0.3082,0.9858,-0.3302,0.0557000000000001,0.4228,0.9118,0.5443,-1,0.259,0.5154,0.453,0.0548,0.0521,0.2962,-0.4022,0.1059,-0.3082,0.0546,0.056,0.1573,-0.4672,0.6275,0.5281,0.0545,-1,-1,-0.7324,-0.2482,0.928,-0.2898,-1,0.8336,-0.05,-0.7836,0.0564,-1,0.6406,0.8552,0.0573999999999999,0.1091,0.5295,0.5044,0.3822,0.0526,0.0604,0.8822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.7468,0.1252,0.3124,0.107,0.9316,0.2645,0.0183,-0.7878,0.9212,0.2283,0.8412,0.5148,0.669,0.1726,0.018,-0.965,-0.8358,0.3428,-0.944,-0.7606,-0.9642,0.018,-0.9328,-0.8478,-0.5382,-0.7826,-0.9674,0.5594,-0.0558,-0.7204,-0.746,0.6372,0.4553,0.0188999999999999,0.8468,0.0664,0.2888,0.0183,0.96,0.7378,0.6208,0.5318,0.0378000000000001,0.2161,0.457,0.1392,0.0166999999999999,-0.354,-0.1216,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,-0.8106,-0.5924,-0.9184,-0.0228,0.325,-0.8044,0.2836,-0.551,-1,-0.753,-1,-0.2692,-0.1558,-0.556,-1,-1,-0.8634,-0.6576,-0.807,-0.7454,-1,-1,-0.9362,-0.2866,-0.181,-0.3822,-1,-0.3026,-0.7266,-0.773,-0.4174,0.278,-0.905,-1,-1,-0.4958,-0.8022,-1,-1,0.6986,-0.2952,-0.8128,0.4992,-0.6722,-0.7436,-0.247,0.2852,-0.3746,-0.1354,-0.4178,-1,NA,NA,NA,NA,NA,NA,NA,NA
53,-0.495,0.1096,-0.5144,0.7072,0.9998,0.4238,-0.0896,0.3804,0.2368,-0.08,-0.6258,0.7964,-0.6968,0.00980000000000003,0.4864,-1,0.1792,-0.7172,0.2376,0.3732,-1,0.4762,-0.1982,0.6706,0.9228,0.718,-1,0.6418,0.0928,0.3874,0.7622,0.9892,0.7586,-1,0.952,-0.4842,-0.181,0.4824,-1,0.9736,0.8676,0.5826,0.3328,0.3794,0.9442,0.6794,-0.0596,0.9426,0.984,-0.1836,-1,-0.7974,NA,NA,NA,NA,NA,NA,NA
54,0.7568,-0.6456,0.4846,-0.6632,-1,-0.166,-1,-0.4164,-1,-0.4066,0.8524,0.5774,0.733,0.4572,0.0550999999999999,-1,-0.7362,-0.2956,-0.8864,-0.6376,-1,0.0573999999999999,-0.8794,-0.4364,-0.7132,-0.5086,-1,0.4934,0.1918,-0.325,-0.4194,-1,0.223,0.0568,-1,0.1124,0.6433,0.0525,-1,-1,-1,-0.0254,-0.8608,-0.3666,-1,-0.5226,-0.935,-0.4574,-0.2326,0.1489,-1,-0.3748,-0.0476,NA,NA,NA,NA,NA,NA
55,1,-1,1,0.7216,1,0.6732,-1,-1,1,-1,1,0.9532,1,-1,-1,-1,-1,-1,-1,0.8382,-1,-1,-1,0.8378,0.927,0.5428,-1,1,1,0.9892,0.8294,0.9942,0.4256,-1,1,1,-1,-1,1,0.9992,0.9982,0.8654,-1,-1,0.9998,0.768,-1,1,1,0.9446,-1,-1,0.5602,-1,NA,NA,NA,NA,NA
56,0.906,-1,0.9998,-0.1814,1,-0.9326,-1,0.7128,0.8832,-0.846,1,0.6386,0.8022,-0.7474,-1,-1,0.3448,-0.6508,0.4652,0.6864,-1,-1,0.5214,0.7682,0.9978,0.9062,-1,1,0.999,0.4436,-0.5674,0.9946,-0.6988,-1,1,1,-0.924,-1,1,0.9994,0.9968,0.3798,-1,-0.9642,0.9594,-0.2694,-1,1,1,0.6502,-1,-0.2996,0.6858,0.4208,0.9906,NA,NA,NA,NA
57,-0.00119999999999998,-0.778,0.5572,-0.4234,-1,-0.6886,-1,0.4028,-1,-0.9284,0.8962,0.1758,0.6078,-0.9492,0.1195,0.1262,0.5795,-0.0794,0.2376,0.36,0.1298,0.1326,0.3401,0.7715,0.642,-0.3048,0.1232,0.9784,0.5936,-0.0978,-0.557,0.8156,-0.9932,0.1304,0.6584,0.7832,-0.9056,0.1323,-1,-1,0.6322,0.0396000000000001,-0.8976,-0.9974,-0.1318,-1,-0.7578,0.7146,0.7278,0.3434,0.1268,-0.22,0.49,-0.5898,-1,-0.1892,NA,NA,NA
58,0.7874,-0.3666,0.1516,0.00760000000000005,-1,0.6106,0.1078,-0.9852,-1,0.784,0.5708,0.9018,0.7724,0.0469999999999999,-1,-1,-0.919,0.9256,-1,-0.984,-1,0.1127,-0.9802,-0.9982,-0.9994,-0.9892,-1,0.8302,0.4442,-0.002,0.3618,0.9646,0.78,0.1074,0.9472,0.8548,0.052,0.11,0.8748,0.9512,0.688,0.0828,0.2074,0.7872,0.0224,0.631,0.1085,-1,-1,0.3046,-1,-0.6934,0.3062,-0.739,-1,0.9154,0.5765,NA,NA
