value,Var1,Var2,Depth1,Depth2,Year1,Year2,Habitat1,Habitat2,year_comparison
0.64899479,X711_P.1.S,X716_P2_1.5,0-9,0-9,2011,2016,Palsa,Palsa,between
0.80294865,X711_P.1.S,X716_P3_1.5,0-9,0-9,2011,2016,Palsa,Palsa,between
0.65463318,X711_P.1.S,X717_P2_1.5,0-9,0-9,2011,2017,Palsa,Palsa,between
0.53600185,X711_P.1.S,X717_P3_1.5,0-9,0-9,2011,2017,Palsa,Palsa,between
0.51260255,X711_P.1.M,X711_P.2.M,10-19,10-19,2011,2011,Palsa,Palsa,within
0.51194954,X711_P.1.M,X712_P.1.M,10-19,10-19,2011,2012,Palsa,Palsa,between
0.62711367,X711_P.1.M,X712_P.2.M,10-19,10-19,2011,2012,Palsa,Palsa,between
0.42723018,X711_P.1.M,X712_P.3.M,10-19,10-19,2011,2012,Palsa,Palsa,between
0.90054165,X711_P.1.M,X715_P1_10.14,10-19,10-19,2011,2015,Palsa,Palsa,between
0.6773958,X711_P.1.M,X715_P2_10.14,10-19,10-19,2011,2015,Palsa,Palsa,between
0.83879809,X711_P.1.M,X715_P3_10.14,10-19,10-19,2011,2015,Palsa,Palsa,between
0.8318956,X711_P.1.M,X716_P1_10.14,10-19,10-19,2011,2016,Palsa,Palsa,between
0.71628466,X711_P.1.M,X716_P2_10.14,10-19,10-19,2011,2016,Palsa,Palsa,between
0.68691943,X711_P.1.M,X716_P3_10.14,10-19,10-19,2011,2016,Palsa,Palsa,between
0.57122221,X711_P.1.M,X717_P1_10.14,10-19,10-19,2011,2017,Palsa,Palsa,between
0.76643316,X711_P.1.M,X717_P2_10.14,10-19,10-19,2011,2017,Palsa,Palsa,between
0.73693815,X711_P.1.M,X717_P3_10.14,10-19,10-19,2011,2017,Palsa,Palsa,between
0.89200317,X711_P.1.D,X711_P.2.D,30-39,30-39,2011,2011,Palsa,Palsa,within
0.98267756,X711_P.1.D,X711_P.3.D,30-39,30-39,2011,2011,Palsa,Palsa,within
0.98197191,X711_P.1.D,X712_P.1.D,30-39,30-39,2011,2012,Palsa,Palsa,between
0.98727188,X711_P.1.D,X712_P.2.D,30-39,30-39,2011,2012,Palsa,Palsa,between
0.82338624,X711_P.1.D,X712_P.3.D,30-39,30-39,2011,2012,Palsa,Palsa,between
0.99160848,X711_P.1.D,X713_P.1.X1,30-39,30-39,2011,2013,Palsa,Palsa,between
0.99254463,X711_P.1.D,X713_P.3.X1,30-39,30-39,2011,2013,Palsa,Palsa,between
0.88946899,X711_P.1.D,X714_P1_30.34,30-39,30-39,2011,2014,Palsa,Palsa,between
0.99693379,X711_P.1.D,X714_P3_30.34,30-39,30-39,2011,2014,Palsa,Palsa,between
0.99781343,X711_P.1.D,X715_P1_30.34,30-39,30-39,2011,2015,Palsa,Palsa,between
0.99622553,X711_P.1.D,X715_P3_30.34,30-39,30-39,2011,2015,Palsa,Palsa,between
0.98837973,X711_P.1.D,X716_P1_30.34,30-39,30-39,2011,2016,Palsa,Palsa,between
0.99237227,X711_P.1.D,X716_P2_30.34,30-39,30-39,2011,2016,Palsa,Palsa,between
0.92916136,X711_P.1.D,X716_P3_30.34,30-39,30-39,2011,2016,Palsa,Palsa,between
0.65996115,X711_P.2.S,X711_P.3.S,0-9,0-9,2011,2011,Palsa,Palsa,within
