genome,specialisation,nitrogen_specialisation,sulfur_specialisation
20120500_P37_4,macromolecule_degrader,NA,NA
20120500_P37_6,fermenter,NA,NA
20120500_P38_1,generalist,NA,sulfur_oxidiser
20120500_P38_6,generalist,nitrate_reducer,NA
20120500_P39_7,fermenter,NA,sulfur_oxidiser
20120600_E1D_13,generalist,NA,NA
20120600_E1D_16,generalist,nitrogen_fixer,NA
20120600_E1D_17,fermenter,nitrogen_fixer,NA
20120600_E1D_18,generalist,nitrogen_fixer,sulfate_reducer
20120600_E1D_19,generalist,NA,NA
20120600_E1D_20,generalist,nitrogen_fixer,NA
20120600_E1D_25,fermenter,NA,sulfur_oxidiser
20120600_E1D_30,generalist,NA,NA
20120600_E1D_31,generalist,nitrogen_fixer,NA
20120600_E1D_32,generalist,NA,NA
20120600_E1D_34,fermenter,nitrogen_fixer,sulfur_oxidiser
20120600_E1D_37,generalist,NA,NA
20120600_E1D_38,generalist,NA,NA
20120600_E1D_41,fermenter,NA,NA
20120600_E1D_42,fermenter,NA,sulfur_oxidiser
20120600_E1D_48,generalist,NA,NA
20120600_E1D_5,macromolecule_degrader,NA,NA
20120600_E1D_51,generalist,NA,NA
20120600_E1D_52,generalist,NA,NA
20120600_E1D_53,generalist,NA,NA
20120600_E1D_55,generalist,NA,NA
20120600_E1D_6,generalist,nitrogen_fixer,NA
20120600_E1D_9,fermenter,NA,sulfur_oxidiser
20120600_E2D_1,generalist,nitrogen_fixer,sulfur_oxidiser
20120600_E2D_11,macromolecule_degrader,NA,NA
20120600_E2D_12,generalist,NA,sulfur_oxidiser
20120600_E2D_15,generalist,nitrogen_fixer,NA
20120600_E2D_16,homoacetogen,NA,NA
20120600_E2D_19,generalist,nitrogen_fixer,NA
20120600_E2D_2,generalist,NA,NA
20120600_E2D_21,generalist,NA,sulfur_oxidiser
20120600_E2D_24,monomer_degrader,NA,sulfur_oxidiser
20120600_E2D_27,fermenter,NA,NA
20120600_E2D_28,generalist,NA,NA
20120600_E2D_33,fermenter,NA,sulfur_oxidiser
20120600_E2D_36,generalist,NA,NA
20120600_E2D_38,macromolecule_degrader,NA,NA
20120600_E2D_39,methanogen,NA,NA
20120600_E2D_41,fermenter,NA,NA
20120600_E2D_47,generalist,nitrogen_fixer,NA
20120600_E2D_49,fermenter,nitrogen_fixer,sulfate_reducer
20120600_E2D_57,generalist,NA,NA
20120600_E2D_7,generalist,nitrogen_fixer,NA
20120600_E2D_8,generalist,nitrogen_fixer,NA
20120600_E2D_9,generalist,NA,NA
20120600_E3D_13,generalist,NA,sulfur_oxidiser
20120600_E3D_14,generalist,nitrogen_fixer,NA
20120600_E3D_17,homoacetogen,nitrogen_fixer,NA
20120600_E3D_18,macromolecule_degrader,NA,NA
20120600_E3D_2,fermenter,nitrate_reducer,sulfur_oxidiser
20120600_E3D_20,fermenter,NA,NA
20120600_E3D_25,homoacetogen,NA,sulfur_oxidiser
20120600_E3D_27,generalist,NA,sulfur_oxidiser
20120600_E3D_29,generalist,NA,sulfur_oxidiser
20120600_E3D_3,generalist,NA,NA
20120600_E3D_33,generalist,nitrogen_fixer,sulfur_oxidiser
20120600_E3D_36,macromolecule_degrader,NA,NA
20120600_E3D_37,fermenter,nitrogen_fixer,sulfate_reducer
20120600_E3D_38,generalist,NA,NA
20120600_E3D_41,monomer_degrader,NA,sulfur_oxidiser
20120600_E3D_42,fermenter,NA,sulfur_oxidiser
20120600_E3D_45,generalist,NA,NA
20120600_E3D_46,generalist,nitrogen_fixer,NA
20120600_E3D_48,fermenter,NA,sulfur_oxidiser
20120600_E3D_49,homoacetogen,NA,NA
20120600_E3D_50,fermenter,NA,sulfur_oxidiser
20120600_E3D_8,methanotroph,NA,sulfur_oxidiser
20120600_P1M_1,generalist,NA,NA
20120600_P2M_10,macromolecule_degrader,NA,NA
