"SampleID_from","SampleID_to","BetaDiversity","Year___from","Habitat___from","DepthLumping_from","Year___to","Habitat___to","DepthLumping_to","ReferenceYear"
"X712_P.2.M","X711_P.1.M",0.627113665078217,2012,"Palsa","10-19",2011,"Palsa","10-19",2011
"X712_P.3.M","X711_P.1.M",0.427230182163955,2012,"Palsa","10-19",2011,"Palsa","10-19",2011
"X715_P1_10.14","X711_P.1.M",0.900541649073155,2015,"Palsa","10-19",2011,"Palsa","10-19",2011
"X715_P2_10.14","X711_P.1.M",0.677395803981667,2015,"Palsa","10-19",2011,"Palsa","10-19",2011
"X715_P3_10.14","X711_P.1.M",0.838798086236501,2015,"Palsa","10-19",2011,"Palsa","10-19",2011
"X716_P1_10.14","X711_P.1.M",0.831895602311615,2016,"Palsa","10-19",2011,"Palsa","10-19",2011
"X716_P2_10.14","X711_P.1.M",0.71628465609157,2016,"Palsa","10-19",2011,"Palsa","10-19",2011
"X716_P3_10.14","X711_P.1.M",0.686919430368769,2016,"Palsa","10-19",2011,"Palsa","10-19",2011
"X717_P1_10.14","X711_P.1.M",0.571222210087422,2017,"Palsa","10-19",2011,"Palsa","10-19",2011
"X717_P2_10.14","X711_P.1.M",0.766433164441502,2017,"Palsa","10-19",2011,"Palsa","10-19",2011
"X717_P3_10.14","X711_P.1.M",0.73693815478228,2017,"Palsa","10-19",2011,"Palsa","10-19",2011
"X712_P.1.D","X711_P.1.D",0.981971906742344,2012,"Palsa","30-39",2011,"Palsa","30-39",2011
"X712_P.2.D","X711_P.1.D",0.987271883189138,2012,"Palsa","30-39",2011,"Palsa","30-39",2011
"X712_P.3.D","X711_P.1.D",0.823386238144394,2012,"Palsa","30-39",2011,"Palsa","30-39",2011
"X713_P.1.X1","X711_P.1.D",0.991608483182026,2013,"Palsa","30-39",2011,"Palsa","30-39",2011
"X713_P.3.X1","X711_P.1.D",0.992544626923028,2013,"Palsa","30-39",2011,"Palsa","30-39",2011
"X714_P1_30.34","X711_P.1.D",0.889468987206573,2014,"Palsa","30-39",2011,"Palsa","30-39",2011
"X714_P3_30.34","X711_P.1.D",0.996933786975355,2014,"Palsa","30-39",2011,"Palsa","30-39",2011
"X715_P1_30.34","X711_P.1.D",0.997813433097384,2015,"Palsa","30-39",2011,"Palsa","30-39",2011
"X715_P3_30.34","X711_P.1.D",0.996225530372726,2015,"Palsa","30-39",2011,"Palsa","30-39",2011
"X716_P1_30.34","X711_P.1.D",0.988379729338176,2016,"Palsa","30-39",2011,"Palsa","30-39",2011
"X716_P2_30.34","X711_P.1.D",0.992372269215449,2016,"Palsa","30-39",2011,"Palsa","30-39",2011
"X716_P3_30.34","X711_P.1.D",0.929161364353664,2016,"Palsa","30-39",2011,"Palsa","30-39",2011
"X712_P.1.S","X711_P.2.S",0.621166474378452,2012,"Palsa","0-9",2011,"Palsa","0-9",2011
"X712_P.2.S","X711_P.2.S",0.618524011347745,2012,"Palsa","0-9",2011,"Palsa","0-9",2011
"X712_P.3.S","X711_P.2.S",0.34617070409374,2012,"Palsa","0-9",2011,"Palsa","0-9",2011
"X713_P.3.M","X711_P.2.S",0.681146003225921,2013,"Palsa","0-9",2011,"Palsa","0-9",2011
"X715_P1_1.5","X711_P.2.S",0.706647337473589,2015,"Palsa","0-9",2011,"Palsa","0-9",2011
"X715_P2_1.5","X711_P.2.S",0.524405823698537,2015,"Palsa","0-9",2011,"Palsa","0-9",2011
"X715_P3_1.5","X711_P.2.S",0.59891821281087,2015,"Palsa","0-9",2011,"Palsa","0-9",2011
"X716_P1_1.5","X711_P.2.S",0.706753038387016,2016,"Palsa","0-9",2011,"Palsa","0-9",2011
"X716_P2_1.5","X711_P.2.S",0.59862175496192,2016,"Palsa","0-9",2011,"Palsa","0-9",2011
"X716_P3_1.5","X711_P.2.S",0.763749513146459,2016,"Palsa","0-9",2011,"Palsa","0-9",2011
"X717_P2_1.5","X711_P.2.S",0.330976571945451,2017,"Palsa","0-9",2011,"Palsa","0-9",2011
"X717_P3_1.5","X711_P.2.S",0.665182384832306,2017,"Palsa","0-9",2011,"Palsa","0-9",2011
"X712_P.1.M","X711_P.2.M",0.604039240381982,2012,"Palsa","10-19",2011,"Palsa","10-19",2011
"X712_P.2.M","X711_P.2.M",0.611910905362711,2012,"Palsa","10-19",2011,"Palsa","10-19",2011
"X712_P.3.M","X711_P.2.M",0.530114008603598,2012,"Palsa","10-19",2011,"Palsa","10-19",2011
"X715_P1_10.14","X711_P.2.M",0.87629008170476,2015,"Palsa","10-19",2011,"Palsa","10-19",2011
"X715_P2_10.14","X711_P.2.M",0.682948309422085,2015,"Palsa","10-19",2011,"Palsa","10-19",2011
"X715_P3_10.14","X711_P.2.M",0.818530955281166,2015,"Palsa","10-19",2011,"Palsa","10-19",2011
"X716_P1_10.14","X711_P.2.M",0.800432852212091,2016,"Palsa","10-19",2011,"Palsa","10-19",2011
"X716_P2_10.14","X711_P.2.M",0.699339631166106,2016,"Palsa","10-19",2011,"Palsa","10-19",2011
"X716_P3_10.14","X711_P.2.M",0.721501405647149,2016,"Palsa","10-19",2011,"Palsa","10-19",2011
"X717_P1_10.14","X711_P.2.M",0.656427591130318,2017,"Palsa","10-19",2011,"Palsa","10-19",2011
"X717_P2_10.14","X711_P.2.M",0.695895261953129,2017,"Palsa","10-19",2011,"Palsa","10-19",2011
"X717_P3_10.14","X711_P.2.M",0.738853233282532,2017,"Palsa","10-19",2011,"Palsa","10-19",2011
"X712_P.1.D","X711_P.2.D",0.676172431620455,2012,"Palsa","30-39",2011,"Palsa","30-39",2011
"X712_P.2.D","X711_P.2.D",0.847111249349404,2012,"Palsa","30-39",2011,"Palsa","30-39",2011
"X712_P.3.D","X711_P.2.D",0.584628738974862,2012,"Palsa","30-39",2011,"Palsa","30-39",2011
"X713_P.1.X1","X711_P.2.D",0.84772415869754,2013,"Palsa","30-39",2011,"Palsa","30-39",2011
"X713_P.3.X1","X711_P.2.D",0.851832076727432,2013,"Palsa","30-39",2011,"Palsa","30-39",2011
"X714_P1_30.34","X711_P.2.D",0.862885574985838,2014,"Palsa","30-39",2011,"Palsa","30-39",2011
"X714_P3_30.34","X711_P.2.D",0.963460657688523,2014,"Palsa","30-39",2011,"Palsa","30-39",2011
"X715_P1_30.34","X711_P.2.D",0.992272339940028,2015,"Palsa","30-39",2011,"Palsa","30-39",2011
"X715_P3_30.34","X711_P.2.D",0.962551278520353,2015,"Palsa","30-39",2011,"Palsa","30-39",2011
"X716_P1_30.34","X711_P.2.D",0.915658869717345,2016,"Palsa","30-39",2011,"Palsa","30-39",2011
"X716_P2_30.34","X711_P.2.D",0.868174174577488,2016,"Palsa","30-39",2011,"Palsa","30-39",2011
"X716_P3_30.34","X711_P.2.D",0.756573745566178,2016,"Palsa","30-39",2011,"Palsa","30-39",2011
"X712_P.1.S","X711_P.3.S",0.440397722264681,2012,"Palsa","0-9",2011,"Palsa","0-9",2011
"X712_P.2.S","X711_P.3.S",0.553900779853036,2012,"Palsa","0-9",2011,"Palsa","0-9",2011
"X712_P.3.S","X711_P.3.S",0.633541972440705,2012,"Palsa","0-9",2011,"Palsa","0-9",2011
"X713_P.3.M","X711_P.3.S",0.78894401248561,2013,"Palsa","0-9",2011,"Palsa","0-9",2011
"X715_P1_1.5","X711_P.3.S",0.65121818684698,2015,"Palsa","0-9",2011,"Palsa","0-9",2011
"X715_P2_1.5","X711_P.3.S",0.510263666922532,2015,"Palsa","0-9",2011,"Palsa","0-9",2011
