"","MEblue","MEgreen","MEmagenta","MEturquoise","MEbrown","MEblack","MEred","MEpurple","MEpink","MEyellow","MEgrey"
"716_S1_1-5",-0.191308138206417,-0.080506086678394,0.021433133490485,-0.0699298513591721,0.308212850664259,0.0096795954234461,-0.0313958319487849,0.110386071882383,0.407910742062396,0.18947943786635,0.0567371579799405
"716_S1_10-14",0.0038877806998717,-0.0572492786659059,-0.049046696185976,0.0621189832554157,-0.0370542386965963,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.053653417599544,-0.0672393022996081,0.0328905850114906
"716_S1_20-24",0.128209755059887,-0.035940403595721,-0.0552814583235856,-0.05785827709971,-0.0287101538842656,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0593309273122047,-0.0651716920640356,0.372174750357215
"716_S1_30-34",0.10860841836292,-0.0282885714285393,-0.0563513514156142,-0.0897363073630396,-0.0383684799125832,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0593685815186161,-0.0667135661318408,0.271185282979486
"716_S2_1-5",-0.188969050124118,-0.080506086678394,-0.0360078006710556,-0.149866347926579,0.689638134178835,0.290174649892382,0.0506333595020717,0.232194784721732,0.0630682677612113,0.111414765325632,-0.0267192732099737
"716_S2_10-14",-0.0898316591686406,-0.080506086678394,-0.0302610172142482,0.0596398227611166,0.0574967394933651,-0.046764346114218,-0.0198706643434825,-0.0378149164278182,0.00248202148376367,-0.0280575346237218,0.375816840457318
"716_S2_20-24",0.0336333717015049,-0.0768784889650506,-0.0559304066878055,-0.0708398099760583,-0.0167680858672666,-0.0475279032685245,-0.0301481805555872,-0.0362201995301325,-0.0399024887169634,-0.0598763924536647,0.0817646614399584
"716_S2_30-34",0.0658587343927491,-0.0625485336605989,-0.0579786802850345,-0.106164464343145,-0.042813347324986,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0686236898939157,0.0131650062389581
"716_S3_10-14",-0.066396196399499,-0.0708218146281373,-0.0188290587716698,0.225736643925442,-0.00517396483734464,-0.0503120151725726,-0.0261982223734182,-0.0360200367911919,0.033386195462854,-0.0217544168869666,0.0285494613615286
"716_S3_20-24",0.126355865705557,-0.00871482965473255,-0.0588815147393353,-0.00200168176696711,-0.0298435512500146,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0692987271568665,-0.0250591041316597
"716_S3_30-34",0.113393419324407,0.165922346198356,-0.0588815147393353,-0.116221871763129,-0.0416345244790945,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0701812618104818,-0.0437449498748868
"717_S2_1-5",-0.192127978812288,-0.080506086678394,0.0448328947783617,-0.0801382336238117,0.0685376039785679,0.212493567976248,0.0891379572897824,0.237613159040582,0.235724354003441,0.364085606397568,-0.0536895651347033
"717_S2_10-14",0.0185828620285515,-0.05445280574048,-0.0381285245788566,0.110328316451155,-0.0356189997584387,-0.0503120151725726,-0.0228751814911194,-0.0378149164278182,-0.0523048305062791,-0.0594442315962292,0.00482705985042597
"717_S2_20-24",0.0765319782049527,-0.0677441029852818,-0.0572601325684542,-0.0658394484072063,-0.0394342974079761,-0.0503120151725726,-0.0304104914854419,-0.0378149164278182,-0.0584285813783858,-0.0666727871234353,0.0611990867941516
"717_S2_30-34",0.147080224182858,-0.0416099395042948,-0.0571641004081699,-0.0817420632172936,-0.0421927162199386,-0.0493438791195299,-0.0283640173057361,-0.0378149164278182,-0.057882845208114,-0.0657217100085636,0.0112446624924631
"717_S3_1-5",-0.16736008036153,-0.0785649039869308,0.0898250862953046,0.0464777682803957,0.249811931983259,0.0255841878310953,-0.0222203425705941,0.014148818491149,0.33240125962729,0.108604514911848,-0.019396343496931
"717_S3_10-14",0.0626157558469704,-0.00333873965520806,-0.0496335298304849,0.0635128222921451,-0.034402233780866,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.052325070100481,-0.0676126198871203,-0.0621967196202053
"717_S3_20-24",0.115181589394988,0.246428460818515,-0.0588815147393353,-0.121294020782272,-0.0413691512103813,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0701812618104818,-0.0649171461832874
