gene_id	gene_description	module	sheet	header	subheader	potential_amg
K003700	EMERGE	nitrogen_redox_1	EMERGE	Emerge	nitrate->nitrite	False
K003701	EMERGE	nitrogen_redox_13	EMERGE	Emerge	nitrite->nitrate	False
K003710	EMERGE	nitrogen_redox_1	EMERGE	Emerge	nitrate->nitrite	False
K003711	EMERGE	nitrogen_redox_13	EMERGE	Emerge	nitrite->nitrate	False
K00372	EMERGE	nitrogen_redox_16	EMERGE	Emerge	nitrate->nitrite	False
K00376	EMERGE	nitrogen_redox_6	EMERGE	Emerge	nitrous oxide->dinitrogen	False
K00380	EMERGE	sulfur_redox_8	EMERGE	Emerge	sulfite->sulfide	False
K00381	EMERGE	sulfur_redox_8	EMERGE	Emerge	sulfite->sulfide	False
K00382	EMERGE	reductive_glycine_4	EMERGE	Emerge	5,10_methylene_H4F+ammonium+carbon-dioxide->glycine	False
K00390	EMERGE	sulfur_redox_7	EMERGE	Emerge	PAPS->sulfite	False
K00392	EMERGE	sulfur_redox_8	EMERGE	Emerge	sulfite->sulfide	False
K00394	EMERGE	sulfur_redox_2	EMERGE	Emerge	APS->sulfite	False
K00395	EMERGE	sulfur_redox_2	EMERGE	Emerge	APS->sulfite	False
K00399	EMERGE	methylotrophic_methanogenesis_7	EMERGE	Emerge	methyl-CoM+CoB->methane+CoM-S-S-CoB	False
K00401	EMERGE	methylotrophic_methanogenesis_7	EMERGE	Emerge	methyl-CoM+CoB->methane+CoM-S-S-CoB	False
K00402	EMERGE	methylotrophic_methanogenesis_7	EMERGE	Emerge	methyl-CoM+CoB->methane+CoM-S-S-CoB	False
K00531	EMERGE	nitrogen_redox_7	EMERGE	Emerge	dinitrogen->ammonium	False
K00575	EMERGE	chemotaxis_5	EMERGE	Emerge	cheBR->None	False
K00577	EMERGE	methylotrophic_methanogenesis_6	EMERGE	Emerge	5-methyl-H4MPT+CoM->methyl-CoM	False
K00578	EMERGE	methylotrophic_methanogenesis_6	EMERGE	Emerge	5-methyl-H4MPT+CoM->methyl-CoM	False
K00579	EMERGE	methylotrophic_methanogenesis_6	EMERGE	Emerge	5-methyl-H4MPT+CoM->methyl-CoM	False
K00580	EMERGE	methylotrophic_methanogenesis_6	EMERGE	Emerge	5-methyl-H4MPT+CoM->methyl-CoM	False
K00581	EMERGE	methylotrophic_methanogenesis_6	EMERGE	Emerge	5-methyl-H4MPT+CoM->methyl-CoM	False
K00582	EMERGE	methylotrophic_methanogenesis_6	EMERGE	Emerge	5-methyl-H4MPT+CoM->methyl-CoM	False
K00583	EMERGE	methylotrophic_methanogenesis_6	EMERGE	Emerge	5-methyl-H4MPT+CoM->methyl-CoM	False
K00584	EMERGE	methylotrophic_methanogenesis_6	EMERGE	Emerge	5-methyl-H4MPT+CoM->methyl-CoM	False
K00600	EMERGE	reductive_glycine_5	EMERGE	Emerge	5,10_methylene_H4F+glycine->serine	False
K00605	EMERGE	reductive_glycine_4	EMERGE	Emerge	5,10_methylene_H4F+ammonium+carbon-dioxide->glycine	False
K00615	EMERGE	Calvin_Benson_7	EMERGE	Emerge	fructose-6-P+glyceraldehyde-3-P+sedoheptulose-7-P->erythrose-4-P+ribose-5-P+xylulose-5-P	False
K00625	EMERGE	acetoclastic_methanogenesis_3	EMERGE	Emerge	acetyl-P->acetyl-CoA	False
K00626	EMERGE	HPHB_DCHB_22	EMERGE	Emerge	acetoacetyl-CoA->acetyl-CoA	False
K00627	EMERGE	butanoate_fermentation_14	EMERGE	Emerge	pyruvate->acetyl-CoA	False
K00634	EMERGE	butanoate_fermentation_12	EMERGE	Emerge	butanoyl-CoA->butanoyl-P	False
K00656	EMERGE	butanoate_fermentation_14	EMERGE	Emerge	pyruvate->acetyl-CoA	False
K00672	EMERGE	Wood_Ljungdahl_4	EMERGE	Emerge	formyl_MFR+H4MPT->MFR+formyl_H4PMT	False
K00690	EMERGE	sucrose_degradation_3	EMERGE	Emerge	sucrose->D-fructose+D-glucose-1P	False
K00702	EMERGE	cellulose_degradation_4	EMERGE	Emerge	cellobiose->D-glucose-1-phosphate	False
K00844	EMERGE	mannose_degradation_1	EMERGE	Emerge	D-mannose->D-mannose-6P	False
K00847	EMERGE	fructose_degradation_1	EMERGE	Emerge	D-fructose->D-fructose-6P	False
K00849	EMERGE	galactose_degradation_2	EMERGE	Emerge	a-D-galactose->a-D-galactose-1-phosphate	False
K00854	EMERGE	xylose_degradation_2	EMERGE	Emerge	D-xylulose->D-xylulose-5-phosphate	False
K00855	EMERGE	Calvin_Benson_12	EMERGE	Emerge	ribulose-5-P->ribulose-1,5-bis-P	False
K00860	EMERGE	sulfur_redox_6	EMERGE	Emerge	APS->PAPS	False
K00863	EMERGE	glycerol_degradation_3	EMERGE	Emerge	glycerone->glycerone-P	False
K00864	EMERGE	glycerol_degradation_1	EMERGE	Emerge	glycerol->glycerol-3-P	False
K00874	EMERGE	galacturonic_acid_degradation_4	EMERGE	Emerge	2-dehydro-3-deoxy-D-gluconate->2-dehydro-3-deoxy-6-phospho-D-gluconate	False
K00879	EMERGE	fucose_degradation_2	EMERGE	Emerge	L-fuculose->L-fuculose-1P	False
K00925	EMERGE	acetoclastic_methanogenesis_2	EMERGE	Emerge	acetate->acetyl-P	False
K00927	EMERGE	Calvin_Benson_2	EMERGE	Emerge	3-P-glycerate->glycerate-1,3-bis-P	False
K00929	EMERGE	butanoate_fermentation_13	EMERGE	Emerge	butanoyl-P->butanoate	False
K00955	EMERGE	sulfur_redox_6	EMERGE	Emerge	APS->PAPS	False
K00958	EMERGE	sulfur_redox_1	EMERGE	Emerge	sulfate->APS	False
K00965	EMERGE	galactose_degradation_3	EMERGE	Emerge	a-D-galactose-1-phosphate->UPD-a-galactose+D-glucose-1-phosphate+UPD-glucose	False
K01007	EMERGE	HPHB_DCHB_2	EMERGE	Emerge	pyruvate->PEP	False
K01026	EMERGE	propionate_fermentation_11	EMERGE	Emerge	lactate->lactoyl-CoA	False
K01034	EMERGE	butanoate_fermentation_11	EMERGE	Emerge	butanoyl-CoA->butanoate	False
K01035	EMERGE	butanoate_fermentation_11	EMERGE	Emerge	butanoyl-CoA->butanoate	False
K01067	EMERGE	acetogenesis_6	EMERGE	Emerge	acetyl-CoA->acetate	False
K01070	EMERGE	carbon_redox_6	EMERGE	Emerge	formaldehyde->formate	False
K01086	EMERGE	Calvin_Benson_9	EMERGE	Emerge	sedoheptulose-1,7-bis-P->sedoheptulose-7-P	False
K01100	EMERGE	Calvin_Benson_9	EMERGE	Emerge	sedoheptulose-1,7-bis-P->sedoheptulose-7-P	False
K01187	EMERGE	sucrose_degradation_1	EMERGE	Emerge	sucrose->D-glucose+D-fructose	False
K01190	EMERGE	lactose_degradation_1	EMERGE	Emerge	lactose->D-galactose+D-glucose	False
K01193	EMERGE	sucrose_degradation_2	EMERGE	Emerge	sucrose->D-glucose+D-fructose	False
K01198	EMERGE	xylan_degradation_1	EMERGE	Emerge	1,4-B-D-xylan->D-xylose	False
K01427	EMERGE	urea_degradation_1	EMERGE	Emerge	urea->carbon dioxide	False
K01428	EMERGE	urea_degradation_1	EMERGE	Emerge	urea->carbon dioxide	False
