genome,slp,etc,aerobic
20110800_E3D_18,4,5,TRUE
20110800_E3D_19,3,4,TRUE
20110800_E3D_2,4,5,TRUE
20110800_E3D_20,3,5,TRUE
20110800_E3D_21,1,2,FALSE
20110800_E3D_22,1,1,FALSE
20110800_E3D_23,2,3,TRUE
20110800_E3D_24,3,3,TRUE
20110800_E3D_25,3,3,TRUE
20110800_E3D_26,1,0,FALSE
20110800_E3D_27,2,4,TRUE
20110800_E3D_28,4,5,TRUE
20110800_E3D_29,3,4,TRUE
20110800_E3D_3,3,4,TRUE
20110800_E3D_30,3,5,TRUE
20110800_E3D_31,4,1,FALSE
20110800_E3D_32,3,3,TRUE
20110800_E3D_33,3,4,TRUE
20110800_E3D_34,3,2,FALSE
20110800_E3D_35,4,1,FALSE
20110800_E3D_36,1,1,FALSE
20110800_E3D_37,4,4,TRUE
20110800_E3D_38,3,4,TRUE
20110800_E3D_39,1,1,FALSE
20110800_E3D_4,1,0,FALSE
20110800_E3D_40,4,5,TRUE
20110800_E3D_41,2,0,FALSE
20110800_E3D_5,3,5,TRUE
20110800_E3D_6,3,5,TRUE
20110800_E3D_7,3,5,TRUE
20110800_E3D_8,2,5,TRUE
20110800_E3D_9,4,4,TRUE
20110800_E3M_1,2,4,TRUE
20110800_E3M_2,2,3,TRUE
20110800_E3M_3,3,3,TRUE
20110800_E3M_4,4,5,TRUE
20110800_E3M_5,4,1,FALSE
20110800_E3M_6,3,4,TRUE
20110800_E3S_1,3,5,TRUE
20110800_E3S_2,3,4,TRUE
20110800_E3S_3,4,5,TRUE
20110800_P1D_1,3,5,TRUE
20110800_P1D_10,4,5,TRUE
20110800_P1D_11,3,4,TRUE
20110800_P1D_12,3,5,TRUE
20110800_P1D_13,3,3,TRUE
20110800_P1D_14,4,5,TRUE
20110800_P1D_15,4,4,TRUE
20110800_P1D_16,3,4,TRUE
20110800_P1D_17,3,4,TRUE
20110800_P1D_18,4,3,TRUE
20110800_P1D_19,2,4,TRUE
20110800_P1D_2,3,5,TRUE
20110800_P1D_20,3,3,TRUE
20110800_P1D_21,3,5,TRUE
20110800_P1D_22,3,4,TRUE
20110800_P1D_23,3,3,TRUE
20110800_P1D_24,4,3,TRUE
20110800_P1D_25,3,4,TRUE
20110800_P1D_26,3,4,TRUE
20110800_P1D_27,2,2,FALSE
20110800_P1D_28,3,5,TRUE
20110800_P1D_29,4,3,TRUE
20110800_P1D_3,3,4,TRUE
20110800_P1D_30,3,4,TRUE
20110800_P1D_31,3,4,TRUE
20110800_P1D_32,3,5,TRUE
20110800_P1D_33,4,3,TRUE
20110800_P1D_34,4,4,TRUE
20110800_P1D_35,3,5,TRUE
20110800_P1D_36,3,5,TRUE
20110800_P1D_37,3,2,FALSE
20110800_P1D_38,3,5,TRUE
20110800_P1D_39,3,4,TRUE
20110800_P1D_4,3,4,TRUE
20110800_P1D_5,4,4,TRUE
20110800_P1D_6,4,5,TRUE
20110800_P1D_7,3,5,TRUE
20110800_P1D_8,3,5,TRUE
20110800_P1D_9,3,5,TRUE
20110800_P1M_1,3,4,TRUE
20110800_P1M_10,3,4,TRUE
